                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     25,               0.029474,               0.034575,               0.012766,                      0,                0.96263,                0.91753,                0.96644,                0.76327,                0.90894,                0.86334,                0.89115,                0.47962,               0.022458,               0.018974,              0.0037452,                      0,                0.00892,                0.00892,                0.00892
                     26,               0.028891,               0.033865,               0.012716,                      0,                0.92173,                 0.9157,                0.96074,                0.72847,                0.87116,                0.85815,                0.87871,                0.44974,               0.023209,               0.019647,              0.0038426,                      0,               0.008875,               0.008875,               0.008875
                     27,               0.029832,                0.03362,                0.01251,                      0,                0.95029,                 0.9345,                0.97546,                0.76835,                0.91487,                0.89637,                0.92359,                0.51569,               0.021962,               0.017686,               0.003644,                      0,                0.00883,                0.00883,                0.00883
                     28,               0.029278,               0.032627,               0.012527,                      0,                0.94721,                0.93855,                0.97475,                0.74607,                0.92103,                0.89444,                0.92179,                0.51272,                0.02151,               0.017341,               0.003713,                      0,               0.008785,               0.008785,               0.008785
                     29,               0.029014,               0.032982,               0.012361,                      0,                0.94685,                0.93214,                0.97288,                0.77729,                0.90612,                0.87936,                0.90741,                0.50997,               0.021835,               0.017506,              0.0036137,                      0,                0.00874,                0.00874,                0.00874
                     30,               0.028505,               0.032541,               0.012349,                      0,                0.97105,                0.92837,                0.97379,                0.75467,                0.92351,                0.88266,                0.91431,                0.49968,                0.02158,               0.017935,              0.0035125,                      0,               0.008695,               0.008695,               0.008695
                     31,               0.029372,               0.032559,               0.012499,                      0,                0.96594,                0.92212,                0.97387,                  0.775,                0.92489,                0.88207,                0.91903,                0.51219,               0.021087,               0.017095,              0.0035065,                      0,                0.00865,                0.00865,                0.00865
                     32,               0.028243,               0.032519,               0.012396,                      0,                 0.9384,                0.91897,                0.96816,                0.77056,                0.91826,                0.87875,                0.92364,                0.51374,               0.020698,               0.017373,               0.003574,                      0,               0.008605,               0.008605,               0.008605
                     33,               0.027869,               0.032568,               0.011921,                      0,                0.96483,                0.94486,                0.98073,                0.79847,                 0.9293,                 0.9043,                 0.9325,                 0.5407,                0.02012,               0.017038,              0.0034425,                      0,                0.00856,                0.00856,                0.00856
                     34,               0.028132,               0.033194,               0.012365,                      0,                0.95792,                 0.9345,                0.97664,                0.77808,                0.91717,                0.87936,                0.91208,                0.50091,               0.020666,               0.018041,              0.0034607,                      0,               0.008515,               0.008515,               0.008515
                     35,               0.028551,               0.032902,               0.012132,                      0,                0.96374,                0.93497,                0.97737,                0.78805,                 0.9351,                0.89585,                0.93264,                0.53981,               0.020829,               0.016895,              0.0034655,                      0,                0.00847,                0.00847,                0.00847
